,City Name,Country Code,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),UTC Datetime
0,Geraldton,AU,-28.77,114.6,50.0,71,0,8.05,1606768449
1,Mitrofanovka,RU,49.97,39.69,24.78,96,23,11.12,1606768653
2,Egvekinot,RU,66.32,-179.17,2.17,85,26,8.1,1606768653
3,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,75,11.41,1606768655
4,Chuy,UY,-33.7,-53.46,63.73,65,0,10.33,1606768655
5,Jaguarari,BR,-10.26,-40.2,77.29,51,99,6.55,1606768655
6,Vao,NC,-22.67,167.48,73.29,63,5,9.93,1606768655
7,Grootfontein,NA,-19.57,18.12,74.77,46,24,6.64,1606768655
8,Awjilah,LY,29.11,21.29,60.33,68,0,12.33,1606768655
9,Kirakira,SB,-10.45,161.92,83.26,73,100,6.2,1606768655
10,Shakiso,ET,5.75,38.92,59.14,82,65,3.06,1606768655
11,Dakar,SN,14.69,-17.44,77.0,78,0,9.17,1606768434
12,Nuuk,GL,64.18,-51.72,23.0,62,40,25.28,1606768656
13,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,76.78,73,60,6.08,1606768656
14,Spas-Klepiki,RU,55.13,40.18,28.99,90,100,11.01,1606768656
15,Kununurra,AU,-15.77,128.73,80.6,94,75,2.24,1606768512
16,Sosua,DO,19.77,-70.52,82.4,69,20,11.41,1606768656
17,Iquique,CL,-20.22,-70.14,68.0,64,90,6.93,1606768449
18,Tres Arroyos,AR,-38.37,-60.28,76.12,19,0,5.77,1606768656
19,Bageshwar,IN,29.85,79.77,51.85,44,0,1.95,1606768656
20,Nouadhibou,MR,20.93,-17.03,69.8,73,0,5.82,1606768656
21,Mahanoro,MG,-19.9,48.8,75.06,83,99,8.95,1606768656
22,Dongsheng,CN,39.82,109.98,15.26,93,67,2.75,1606768657
23,Bauchi,NG,10.5,10.0,73.31,25,30,4.09,1606768657
24,Merauke,ID,-8.47,140.33,80.74,82,100,7.23,1606768657
25,Mahebourg,MU,-20.41,57.7,77.0,83,40,12.75,1606768657
26,Tagab,AF,34.85,69.65,41.0,86,40,3.24,1606768657
27,Salalah,OM,17.02,54.09,78.8,78,40,3.36,1606768458
28,Arlit,NE,18.74,7.39,80.85,15,33,10.2,1606768657
29,Bathsheba,BB,13.22,-59.52,84.2,74,20,14.99,1606768657
30,Te Anau,NZ,-45.42,167.72,50.47,60,3,0.87,1606768657
31,Weligama,LK,5.97,80.42,76.28,88,100,4.14,1606768657
32,Burriana,ES,39.89,-0.09,53.01,90,81,2.84,1606768657
33,Sorland,NO,67.67,12.69,41.0,86,75,4.7,1606768658
34,Fecamp,FR,49.76,0.37,51.8,87,90,20.8,1606768658
35,Fuyang,CN,32.9,115.82,37.74,78,90,8.81,1606768658
36,Saint-Augustin,CA,51.23,-58.65,26.58,91,48,5.55,1606768658
37,San Policarpo,PH,12.18,125.51,80.01,87,100,16.06,1606768658
38,Mnogovershinnyy,RU,53.94,139.92,1.65,94,93,10.33,1606768658
39,Pangnirtung,CA,66.15,-65.71,6.8,84,90,3.98,1606768658
40,Westport,NZ,-41.75,171.6,58.12,47,34,7.18,1606768658
41,Sola,VU,-13.88,167.55,78.01,86,100,19.04,1606768658
42,Rio Grande,BR,-32.03,-52.1,73.4,56,75,17.22,1606768659
43,Ponta Do Sol,PT,32.67,-17.1,64.4,72,40,29.97,1606768659
44,Portland,AU,-38.33,141.6,66.47,71,100,22.21,1606768659
45,Micheweni,TZ,-4.97,39.83,81.36,80,15,8.97,1606768659
46,Touros,BR,-5.2,-35.46,82.4,65,0,16.11,1606768659
47,Rockingham,US,42.97,-71.1,55.99,91,100,4.0,1606768659
48,Bacolod,PH,10.67,122.95,77.68,85,98,13.96,1606768659
49,Umm Lajj,SA,25.02,37.27,72.48,55,0,10.6,1606768659
50,Kapaa,US,22.08,-159.32,80.6,65,75,9.17,1606768659
51,Kavieng,PG,-2.57,150.8,80.56,81,70,5.37,1606768659
52,Atar,MR,20.52,-13.05,73.51,22,34,2.93,1606768660
53,Brandon,CA,49.85,-99.95,35.6,55,40,8.05,1606768371
54,Lompoc,US,34.64,-120.46,62.6,55,1,16.11,1606768660
55,Lorengau,PG,-2.02,147.27,81.41,79,73,5.39,1606768660
56,Fort Nelson,CA,58.81,-122.7,21.2,85,75,3.36,1606768660
57,Jamestown,SH,-15.94,-5.72,62.76,87,0,15.99,1606768434
58,Bambanglipuro,ID,-7.95,110.28,74.95,87,86,3.02,1606768660
59,Pisco,PE,-13.7,-76.22,69.8,77,40,9.17,1606768660
60,Harper,LR,4.38,-7.72,78.37,84,23,4.14,1606768660
61,Husavik,IS,66.04,-17.34,24.8,85,0,3.36,1606768660
62,Kostomuksha,RU,64.57,30.58,27.43,98,71,6.06,1606768661
63,Saurimo,AO,-9.66,20.39,67.73,93,100,3.15,1606768661
64,Peniche,PT,39.36,-9.38,59.0,81,95,8.99,1606768661
65,Biltine,TD,14.53,20.92,72.25,19,0,8.88,1606768661
66,Dombarovskiy,RU,50.76,59.54,4.5,93,0,7.43,1606768661
67,Ilebo,CD,-4.32,20.58,73.04,77,14,1.19,1606768661
68,Am Timan,TD,11.03,20.28,75.16,23,2,4.45,1606768661
69,Saint George,BM,32.38,-64.68,71.6,56,40,18.34,1606768662
70,Enshi,CN,30.3,109.48,44.56,73,100,3.6,1606768662
71,Kiunga,PG,-6.12,141.29,73.31,98,100,3.29,1606768662
72,Inta,RU,66.03,60.17,21.07,96,99,21.39,1606768662
73,Port Alfred,ZA,-33.59,26.89,62.35,79,28,12.41,1606768662
74,Constitucion,MX,23.99,-104.67,59.0,36,0,5.01,1606768662
75,Kargat,RU,55.2,80.28,2.16,93,88,5.86,1606768662
76,Teya,RU,60.38,92.63,3.99,91,98,3.94,1606768662
77,Samarai,PG,-10.62,150.67,82.06,82,100,10.69,1606768662
78,Azangaro,PE,-14.92,-70.22,69.8,16,40,13.87,1606768663
79,Peachland,CA,49.77,-119.74,43.0,76,97,4.0,1606768663
80,Hay River,CA,60.82,-115.8,28.4,74,100,4.7,1606768663
81,Kieta,PG,-6.22,155.63,82.24,73,32,5.64,1606768663
82,Namtsy,RU,62.72,129.67,-16.6,75,40,2.24,1606768663
83,Palana,RU,59.12,159.97,10.54,91,99,3.91,1606768663
84,Ranfurly,NZ,-45.13,170.1,48.99,60,4,1.01,1606768663
85,Calvinia,ZA,-31.47,19.78,51.91,66,0,7.52,1606768663
86,Davila,PH,18.47,120.58,75.9,73,5,27.56,1606768663
87,Rizhao,CN,35.43,119.46,34.34,81,69,6.31,1606768664
88,Biloela,AU,-24.42,150.5,74.48,70,63,4.74,1606768664
89,Guerrero Negro,MX,27.98,-114.06,76.19,19,16,8.88,1606768664
90,Vila Velha,BR,-20.33,-40.29,80.6,74,20,17.22,1606768424
91,Madinat Sittah Uktubar,EG,29.82,31.05,62.6,55,0,8.05,1606768664
92,Thunder Bay,CA,48.4,-89.32,24.8,49,20,2.24,1606768597
93,Xining,CN,36.62,101.77,21.13,89,67,0.83,1606768664
94,Shimoda,JP,34.67,138.95,45.0,82,54,1.01,1606768664
95,Rawson,AR,-43.3,-65.1,79.61,17,0,9.78,1606768665
96,Oranjestad,AW,12.52,-70.03,86.0,70,40,14.99,1606768665
97,Winslow,US,35.02,-110.7,46.4,33,1,4.7,1606768563
98,Serra,BR,-20.13,-40.31,80.6,74,20,17.22,1606768665
99,Chivilcoy,AR,-34.9,-60.02,75.0,30,0,8.01,1606768665
100,Atuona,PF,-9.8,-139.03,78.39,77,7,18.81,1606768666
101,Kruisfontein,ZA,-34.0,24.73,62.01,74,72,5.01,1606768666
102,Port Elizabeth,ZA,-33.92,25.57,62.6,77,57,10.29,1606768666
103,Hermanus,ZA,-34.42,19.23,61.0,85,15,4.0,1606768666
104,Moron,MN,47.38,110.32,-0.89,84,33,4.09,1606768666
105,Rosarito,MX,32.33,-117.03,77.0,9,5,9.17,1606768599
106,Porto Novo,CV,17.02,-25.06,75.2,57,75,13.87,1606768666
107,Koumac,NC,-20.57,164.28,76.96,61,100,6.35,1606768666
108,Tiksi,RU,71.69,128.87,1.63,88,100,33.67,1606768666
109,Newport,US,41.49,-71.31,57.99,93,90,33.33,1606768483
110,Pontianak,ID,-0.03,109.33,74.84,90,99,2.37,1606768667
111,Pierre,US,44.37,-100.35,37.4,40,1,5.82,1606768664
112,Kahului,US,20.89,-156.47,80.6,54,20,12.75,1606768529
113,Itoman,JP,26.12,127.67,68.0,68,75,20.8,1606768667
114,Chiang Rai,TH,19.92,99.92,59.0,100,0,1.79,1606768667
115,Brae,GB,60.4,-1.35,41.0,86,20,12.75,1606768667
116,Kimbe,PG,-5.55,150.14,77.09,83,84,2.57,1606768668
117,Quatre Cocos,MU,-20.21,57.76,77.0,83,40,12.75,1606768668
118,Albany,AU,-35.02,117.89,50.0,87,90,6.93,1606768668
119,Nanortalik,GL,60.14,-45.24,30.33,98,100,10.02,1606768668
120,Methoni,GR,36.82,21.7,59.0,71,0,4.7,1606768668
121,Clyde River,CA,70.47,-68.59,-16.6,75,5,4.7,1606768668
122,Hecelchakan,MX,20.17,-90.13,78.8,69,75,23.04,1606768668
123,Caravelas,BR,-17.71,-39.25,75.56,78,0,5.28,1606768668
124,Sioux Lookout,CA,50.1,-91.92,19.4,73,75,5.82,1606768509
125,Mackay,AU,-21.15,149.2,69.8,88,42,1.12,1606768668
126,Mlonggo,ID,-6.53,110.7,77.18,83,89,3.06,1606768669
127,Kilembe,UG,0.2,30.0,61.68,70,38,3.11,1606768669
128,Khasan,RU,42.43,130.64,24.17,83,0,15.7,1606768669
129,Lerwick,GB,60.15,-1.15,41.0,86,20,12.75,1606768669
130,Port-Gentil,GA,-0.72,8.78,80.6,88,75,10.29,1606768669
131,Skibbereen,IE,51.55,-9.27,50.0,93,75,13.87,1606768669
132,Vysokogornyy,RU,50.12,139.15,-3.68,91,99,3.94,1606768669
133,Merrill,US,45.18,-89.68,26.6,62,90,11.41,1606768670
134,Mul,IN,20.07,79.67,63.34,56,0,3.44,1606768670
135,Carballo,ES,43.21,-8.69,54.0,90,0,3.94,1606768670
136,Mayumba,GA,-3.43,10.66,77.61,90,85,4.54,1606768670
137,Tucuma,BR,-0.18,-50.05,80.74,78,87,6.69,1606768670
138,Cidreira,BR,-30.18,-50.21,70.14,83,100,12.95,1606768670
139,Ilulissat,GL,69.22,-51.1,17.6,52,75,10.29,1606768624
140,Raudeberg,NO,61.99,5.14,39.99,93,44,3.36,1606768671
141,Kavali,IN,14.92,79.98,73.9,78,100,6.55,1606768671
142,Krasnyy Chikoy,RU,50.36,108.75,9.88,92,100,5.86,1606768671
143,Murray Bridge,AU,-35.12,139.27,63.0,89,100,14.0,1606768671
144,Turgoyak,RU,55.15,60.12,13.12,92,0,0.76,1606768671
145,Ozinki,RU,51.18,49.68,13.06,94,0,11.01,1606768671
146,Margate,ZA,-30.86,30.37,71.2,80,1,9.64,1606768672
147,Delvine,AL,39.95,20.1,55.0,87,20,3.36,1606768672
148,Mount Gambier,AU,-37.83,140.77,68.0,60,90,17.22,1606768672
149,Jacksonville,US,30.33,-81.66,66.99,48,40,14.99,1606768663
150,Rikitea,PF,-23.12,-134.97,75.76,78,30,10.18,1606768672
151,Tafresh,IR,34.69,50.01,37.47,80,0,2.35,1606768672
152,La Palma,PA,8.4,-78.15,80.74,82,100,8.16,1606768672
153,Ambilobe,MG,-13.2,49.05,76.01,82,58,2.89,1606768672
154,Lagoa,PT,39.05,-27.98,61.5,70,100,24.47,1606768672
155,Bethel,US,41.37,-73.41,61.0,87,90,14.99,1606768529
156,Eydhafushi,MV,5.1,73.07,82.62,75,89,8.12,1606768672
157,Southaven,US,34.99,-90.01,37.99,47,90,18.34,1606768673
158,Nikolskoye,RU,59.7,30.79,32.0,92,75,6.71,1606768673
159,Meulaboh,ID,4.14,96.13,76.68,89,100,4.38,1606768673
160,Torbat-E Jam,IR,35.24,60.62,44.33,59,84,3.56,1606768673
161,Aykhal,RU,66.0,111.5,1.4,91,40,2.24,1606768673
162,Bluff,NZ,-46.6,168.33,51.01,79,77,4.0,1606768673
163,Zhigansk,RU,66.77,123.37,-7.06,91,100,20.94,1606768673
164,Sur,OM,22.57,59.53,70.88,68,3,1.5,1606768673
165,Sinnamary,GF,5.38,-52.95,79.38,85,91,8.75,1606768674
166,Mar Del Plata,AR,-38.0,-57.56,60.8,55,0,12.75,1606768674
167,Bandarbeyla,SO,9.49,50.81,75.9,77,0,14.5,1606768674
168,Berlevag,NO,70.86,29.09,30.2,86,20,39.15,1606768674
169,Luanda,AO,-8.84,13.23,80.6,83,75,6.93,1606768674
170,Milkovo,RU,54.72,158.62,7.65,92,99,2.04,1606768674
171,Buala,SB,-8.14,159.59,83.73,73,66,4.99,1606768674
172,Norman Wells,CA,65.28,-126.83,-2.2,84,75,2.24,1606768674
173,Livingston,US,40.8,-74.31,64.4,88,90,16.11,1606768589
174,Beaverlodge,CA,55.22,-119.44,23.0,79,40,17.07,1606768675
175,Santa Maria,US,34.95,-120.44,73.0,39,1,6.93,1606768649
176,Morropon,PE,-5.18,-79.97,85.39,42,99,6.53,1606768675
177,Guilin,CN,25.28,110.29,48.2,76,75,4.47,1606768675
178,San Andres,CO,12.58,-81.7,80.6,88,90,8.05,1606768675
179,Mayo,CA,63.59,-135.9,6.8,84,75,3.36,1606768675
180,Chalmette,US,29.94,-89.96,54.0,54,1,20.8,1606768522
181,Coquimbo,CL,-29.95,-71.34,60.8,77,20,12.75,1606768675
182,Alofi,NU,-19.06,-169.92,80.6,74,75,6.93,1606768675
183,Price,US,39.6,-110.81,39.2,25,1,6.93,1606768675
184,Fare,PF,-16.7,-151.02,81.3,78,2,13.73,1606768676
185,Thinadhoo,MV,0.53,72.93,82.4,60,63,3.29,1606768676
186,Opuwo,NA,-18.06,13.84,75.04,34,61,11.79,1606768676
187,La Libertad,SV,13.49,-89.32,87.8,62,20,5.82,1606768676
188,Bodden Town,KY,19.28,-81.25,84.99,66,20,4.7,1606768676
189,Lexington,US,37.99,-84.48,36.0,97,90,13.87,1606768676
190,Skelleftea,SE,64.75,20.95,35.01,95,100,5.82,1606768676
191,Hofn,IS,64.25,-15.21,32.0,80,75,6.93,1606768677
192,Port-Cartier,CA,50.03,-66.87,28.4,86,100,8.05,1606768677
193,Hovd,MN,48.01,91.64,12.97,90,100,2.48,1606768677
194,Ostrovnoy,RU,68.05,39.51,32.54,94,100,25.37,1606768677
195,Forestville,CA,48.74,-69.08,39.2,96,90,8.05,1606768677
196,Pacifica,US,37.61,-122.49,59.0,71,1,3.36,1606768658
197,San Agustin Acasaguastlan,GT,14.95,-89.97,87.8,55,20,11.41,1606768677
198,Sinjai,ID,-5.12,120.25,77.45,82,100,1.77,1606768677
199,Sterling,US,39.01,-77.43,60.8,87,75,12.75,1606768677
200,Tilichiki,RU,60.47,166.1,-5.17,95,44,9.4,1606768677
201,Vikersund,NO,59.97,9.99,37.0,92,100,3.27,1606768678
202,Ponta Do Sol,CV,17.2,-25.09,75.2,57,75,13.87,1606768678
203,Scarborough,GB,54.28,-0.4,41.0,82,25,1.99,1606768678
204,Tasiilaq,GL,65.61,-37.64,26.6,79,100,19.46,1606768678
205,Lebu,CL,-37.62,-73.65,55.76,72,0,23.42,1606768678
206,Tokonou,GN,9.65,-9.78,78.76,50,35,3.8,1606768678
207,Arraial Do Cabo,BR,-22.97,-42.03,80.6,69,0,16.11,1606768678
208,Vanimo,PG,-2.67,141.3,77.22,89,100,1.54,1606768678
209,Northam,AU,-31.67,116.67,46.0,87,0,5.35,1606768678
210,Quang Ngai,VN,15.12,108.8,74.55,90,100,9.71,1606768678
211,Tupik,RU,54.43,119.93,-10.1,86,0,2.3,1606768679
212,Vestmannaeyjar,IS,63.44,-20.27,38.43,95,100,42.5,1606768679
213,College,US,64.86,-147.8,1.99,76,40,4.7,1606768679
214,Port Lincoln,AU,-34.73,135.87,61.09,68,100,25.99,1606768679
215,Pundaguitan,PH,6.37,126.17,82.33,76,100,6.04,1606768679
216,Los Llanos De Aridane,ES,28.66,-17.92,69.8,52,75,2.24,1606768614
217,Roald,NO,62.58,6.13,39.2,93,75,6.93,1606768679
218,Lindi,TZ,-10.0,39.72,80.6,83,40,8.05,1606768679
219,Flinders,AU,-34.58,150.86,70.0,75,60,7.0,1606768679
220,Port Blair,IN,11.67,92.75,81.7,78,4,16.64,1606768680
221,Turukhansk,RU,65.82,87.98,8.19,95,100,10.96,1606768680
222,Solnechnyy,RU,50.72,136.63,3.52,87,3,0.63,1606768680
223,Volchansk,RU,59.94,60.08,14.61,94,0,4.59,1606768680
224,Mayor Pablo Lagerenza,PY,-19.93,-60.77,93.0,36,100,2.93,1606768680
225,Bazarnyye Mataki,RU,54.88,49.93,12.58,94,0,9.98,1606768680
226,Kango,GA,0.19,10.1,75.07,93,99,2.42,1606768680
227,Honiara,SB,-9.43,159.95,78.8,88,75,4.7,1606768680
228,Vangaindrano,MG,-23.35,47.6,74.23,91,5,4.18,1606768680
229,Saldanha,ZA,-33.01,17.94,64.4,72,71,6.93,1606768681
230,Georgetown,SH,-7.93,-14.42,75.11,81,44,17.9,1606768681
231,Qaanaaq,GL,77.48,-69.36,-6.5,79,87,7.4,1606768681
232,Hazorasp,UZ,41.32,61.07,26.6,73,0,18.34,1606768681
233,Alyangula,AU,-13.85,136.42,77.0,100,100,1.12,1606768681
234,San Narciso,PH,15.01,120.08,77.0,61,20,3.36,1606768681
235,Fort-Shevchenko,KZ,44.51,50.26,36.7,79,100,21.3,1606768681
236,Palu,ID,-0.89,119.87,74.95,72,99,1.81,1606768681
237,Chaihe,CN,44.77,129.7,2.53,91,0,6.13,1606768681
238,Ahipara,NZ,-35.17,173.17,62.96,72,92,20.96,1606768682
239,Maple Creek,CA,49.92,-109.48,42.8,45,68,19.46,1606768682
240,Mithi,PK,24.73,69.8,69.19,28,0,1.57,1606768561
241,Namatanai,PG,-3.67,152.43,81.36,77,100,8.37,1606768682
242,Fastiv,UA,50.08,29.92,33.01,95,40,2.24,1606768682
243,Arman,RU,59.7,150.17,14.59,89,97,7.11,1606768682
244,Vila Franca Do Campo,PT,37.72,-25.43,59.0,77,40,19.46,1606768682
245,Hobyo,SO,5.35,48.53,78.55,78,6,12.1,1606768682
246,Umm Bab,QA,25.21,50.81,75.2,64,75,3.36,1606768683
247,Libourne,FR,44.92,-0.25,39.2,73,0,6.93,1606768683
248,Vadso,NO,70.07,29.75,33.8,74,75,23.04,1606768683
249,Kumluca,TR,36.37,30.29,58.05,65,95,5.61,1606768683
250,Sao Filipe,CV,14.9,-24.5,74.32,70,68,9.95,1606768683
251,Haines Junction,CA,60.75,-137.51,-4.0,83,99,2.24,1606768683
252,Zabol,IR,31.03,61.5,44.6,75,0,4.7,1606768683
253,Severodvinsk,RU,64.56,39.83,30.2,92,90,11.18,1606768683
254,Port Macquarie,AU,-31.43,152.92,70.0,80,93,1.01,1606768683
255,Puerto Ayora,EC,-0.74,-90.35,77.0,65,75,10.29,1606768683
