,City Name,Country Code,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),UTC Datetime
256,Cabo San Lucas,MX,22.89,-109.91,80.01,44,5,6.93,1606768448
257,Huarmey,PE,-10.07,-78.15,70.38,71,51,8.21,1606768684
258,Aripuana,BR,-9.17,-60.63,82.51,69,68,3.06,1606768653
259,Rubiataba,BR,-15.16,-49.8,78.66,64,42,2.3,1606768684
260,Sun Valley,US,39.6,-119.78,57.0,18,1,4.7,1606768405
261,Urengoy,RU,65.97,78.37,8.24,95,100,9.42,1606768684
262,San Cristobal,EC,-0.9,-89.62,78.8,83,40,10.29,1606768684
263,Lethem,GY,3.38,-59.8,89.15,55,72,4.29,1606768684
264,Teahupoo,PF,-17.83,-149.27,86.0,66,20,5.82,1606768685
265,Chabahar,IR,25.29,60.64,71.19,58,0,5.57,1606768685
266,Astana,KZ,51.18,71.45,-11.2,76,40,6.71,1606768429
267,Deputatskiy,RU,69.3,139.9,-9.31,89,36,6.33,1606768685
268,Wieliczka,PL,49.99,20.06,34.0,81,0,3.06,1606768685
269,Mugur-Aksy,RU,50.35,90.5,-2.79,79,7,5.86,1606768685
270,Isangel,VU,-19.55,169.27,76.57,60,100,8.57,1606768685
271,Oussouye,SN,12.48,-16.55,78.8,78,0,2.24,1606768685
272,Tortoli,IT,39.93,9.66,55.4,87,20,9.17,1606768685
273,Walvis Bay,NA,-22.96,14.51,59.0,77,0,2.24,1606768396
274,Prince Rupert,CA,54.32,-130.32,44.6,70,90,11.41,1606768685
275,Ballina,IE,54.12,-9.17,45.0,94,100,3.38,1606768685
276,Mitu,CO,1.2,-70.17,80.78,92,100,1.95,1606768686
277,Naze,JP,28.37,129.48,66.2,77,75,21.92,1606768686
278,Amahai,ID,-3.33,128.92,82.0,89,99,1.01,1606768686
279,Hermiston,US,45.84,-119.29,52.0,53,1,20.8,1606768451
280,Namibe,AO,-15.2,12.15,71.78,68,66,8.05,1606768686
281,Ribeira Grande,PT,38.52,-28.7,60.8,63,20,20.8,1606768686
282,Nantucket,US,41.28,-70.1,57.2,93,90,28.86,1606768686
283,Mwandiga,TZ,-4.83,29.66,73.4,94,20,3.44,1606768686
284,Richmond,ZA,-29.87,30.27,64.0,95,10,3.87,1606768686
285,Narrabri,AU,-30.32,149.78,73.4,56,0,3.36,1606768686
286,Taltal,CL,-25.4,-70.48,64.35,60,23,2.08,1606768687
287,Port Hardy,CA,50.7,-127.42,46.4,87,75,4.7,1606768687
288,Manoel Urbano,BR,-8.84,-69.26,89.83,53,91,2.73,1606768687
289,Yellowknife,CA,62.46,-114.35,19.4,92,90,10.29,1606768527
290,Elk City,US,35.41,-99.4,50.0,21,1,11.41,1606768687
291,Iqaluit,CA,63.75,-68.51,-11.2,69,20,11.41,1606768687
292,Kurumkan,RU,54.3,110.3,5.0,86,100,1.7,1606768687
293,Poum,NC,-20.23,164.02,75.83,67,96,5.97,1606768687
294,Gorom-Gorom,BF,14.44,-0.24,82.13,18,2,8.99,1606768687
295,Pontes E Lacerda,BR,-15.23,-59.34,92.86,36,64,5.97,1606768687
296,Olafsvik,IS,64.89,-23.71,32.5,97,100,28.59,1606768687
297,Port Hedland,AU,-20.32,118.57,77.0,78,0,5.82,1606768688
298,Victoria,SC,-4.62,55.45,78.8,83,20,14.05,1606768412
299,Progreso,MX,21.28,-89.67,78.8,69,90,6.93,1606768688
300,Grindavik,IS,63.84,-22.43,35.6,100,90,26.4,1606768688
301,Tramandai,BR,-29.98,-50.13,70.63,83,100,8.63,1606768688
302,Bengkulu,ID,-3.8,102.27,74.48,84,91,4.47,1606768688
303,Luderitz,NA,-26.65,15.16,62.6,67,0,14.99,1606768688
304,Talnakh,RU,69.49,88.4,17.6,92,90,22.37,1606768688
305,Port Hawkesbury,CA,45.62,-61.35,39.99,60,1,6.93,1606768417
306,Evensk,RU,61.95,159.23,1.51,73,95,3.56,1606768689
307,Carora,VE,10.18,-70.08,85.95,55,80,11.79,1606768689
308,The Pas,CA,53.83,-101.25,21.2,73,1,13.87,1606768689
309,Khatanga,RU,71.97,102.5,23.4,96,100,25.81,1606768689
310,Juneau,US,58.3,-134.42,37.4,80,75,9.17,1606768689
311,Benjamin Constant,BR,-4.38,-70.03,86.0,66,40,5.82,1606768689
312,Sibu,MY,2.3,111.82,77.0,88,40,3.36,1606768689
313,Lingao,CN,19.91,109.69,68.65,71,100,16.22,1606768689
314,Fortuna,US,40.6,-124.16,51.8,81,90,1.3,1606768689
315,Viedma,AR,-40.81,-63.0,86.0,17,0,10.0,1606768690
316,Hobart,AU,-42.88,147.33,66.2,59,75,13.87,1606768434
317,Bayburt,TR,40.26,40.23,31.24,91,100,2.86,1606768513
318,Sulina,RO,45.16,29.65,38.21,94,100,19.15,1606768690
319,Castro,CL,-42.47,-73.77,60.8,55,40,3.36,1606768690
320,Faanui,PF,-16.48,-151.75,80.51,77,18,11.83,1606768690
321,Menongue,AO,-14.66,17.69,64.92,89,98,1.54,1606768690
322,Ushuaia,AR,-54.8,-68.3,50.0,61,75,23.04,1606768690
323,Valvedditturai,LK,9.82,80.17,79.88,77,100,19.13,1606768639
324,Shurugwi,ZW,-19.67,30.01,63.3,95,100,4.99,1606768690
325,Ormond Beach,US,29.29,-81.06,72.0,46,1,11.41,1606768691
326,Semey,KZ,50.41,80.23,8.01,95,100,7.99,1606768691
327,Lyngseidet,NO,69.58,20.22,39.2,64,40,21.92,1606768691
328,Kouango,CF,4.99,19.96,76.5,47,25,1.7,1606768691
329,Sarkand,KZ,45.41,79.92,12.07,70,2,3.58,1606768691
330,Vostok,RU,46.49,135.88,1.4,94,100,7.49,1606768691
331,Pevek,RU,69.7,170.31,-5.85,92,94,7.63,1606768692
332,Dingle,IE,52.14,-10.27,50.0,100,90,4.7,1606768403
333,Cremona,IT,45.23,9.93,44.01,80,8,2.24,1606768692
334,Butaritari,KI,3.07,172.79,82.74,77,45,18.05,1606768692
335,Zyryanka,RU,65.75,150.85,-15.74,85,0,7.74,1606768692
336,Saskylakh,RU,71.92,114.08,17.19,94,100,23.04,1606768692
337,Portobelo,PA,9.55,-79.65,84.0,99,100,9.89,1606768692
338,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,65,0,23.04,1606768692
339,Rengo,CL,-34.42,-70.87,87.8,25,20,7.83,1606768692
340,Bulaevo,KZ,54.91,70.44,-3.53,91,8,0.87,1606768692
341,Boa Vista,BR,2.82,-60.67,89.6,52,40,9.17,1606768463
342,Koslan,RU,63.46,48.9,27.86,96,100,12.24,1606768693
343,Chimbote,PE,-9.09,-78.58,69.15,75,98,9.42,1606768693
344,Ewa Beach,US,21.32,-158.01,80.6,57,20,3.36,1606768565
345,Kodiak,US,57.79,-152.41,35.6,96,90,32.21,1606768476
346,Punta Arenas,CL,-53.15,-70.92,55.4,50,75,49.44,1606768481
347,Avarua,CK,-21.21,-159.78,80.6,83,100,13.87,1606768693
348,Vicuna,CL,-30.03,-70.71,88.0,18,0,4.0,1606768693
349,Accra,GH,5.56,-0.2,82.4,83,40,9.17,1606768693
350,Tura,RU,64.28,100.25,-7.62,90,1,5.75,1606768693
351,Pedernales,EC,0.08,-80.05,76.84,76,44,9.37,1606768693
352,Cabedelo,BR,-6.98,-34.83,80.6,69,20,12.75,1606768694
353,Le Vauclin,MQ,14.55,-60.84,82.4,78,90,14.99,1606768694
354,Payakumbuh,ID,-0.22,100.63,67.77,86,92,3.33,1606768694
355,Ixtapa,MX,20.7,-105.2,82.4,65,5,6.93,1606768694
356,Rio Claro,TT,10.3,-61.18,87.8,62,40,11.41,1606768694
357,Beloha,MG,-25.17,45.05,70.95,93,79,3.42,1606768694
358,Verkhnevilyuysk,RU,63.45,120.32,-7.49,90,93,6.49,1606768694
359,Cherskiy,RU,68.75,161.3,-8.57,91,100,6.55,1606768694
360,Coihaique,CL,-45.58,-72.07,57.2,50,40,10.29,1606768694
361,Bonavista,CA,48.65,-53.11,33.8,55,0,5.82,1606768694
362,Tenno,JP,39.9,139.97,41.83,66,100,22.15,1606768694
363,Magadan,RU,59.57,150.8,17.15,91,99,6.51,1606768695
364,Banda Aceh,ID,5.56,95.32,79.29,80,100,4.45,1606768695
365,Tiznit,MA,29.58,-9.5,61.66,51,79,8.23,1606768695
366,Goulburn,AU,-34.75,149.72,60.01,93,1,6.46,1606768695
367,Bredasdorp,ZA,-34.53,20.04,60.8,72,1,10.29,1606768695
368,Parangan,PH,5.08,119.94,81.81,80,97,11.32,1606768695
369,Mehamn,NO,71.04,27.85,32.0,93,40,26.4,1606768696
370,Qinhuangdao,CN,39.93,119.59,27.0,83,23,4.41,1606768696
371,Ko Samui,TH,9.54,99.94,81.07,79,97,18.7,1606768696
372,Goure,NE,13.98,10.27,80.01,16,0,5.99,1606768696
373,Severo-Kurilsk,RU,50.68,156.12,27.99,89,98,6.62,1606768696
374,Paamiut,GL,61.99,-49.67,29.07,88,100,26.24,1606768627
375,Lavrentiya,RU,65.58,-171.0,11.01,91,23,11.79,1606768696
376,Gushikawa,JP,26.35,127.87,68.0,72,90,19.46,1606768696
377,Tessalit,ML,20.2,1.01,73.76,19,100,11.12,1606768697
378,Provideniya,RU,64.38,-173.3,17.6,67,40,11.18,1606768697
379,Shingu,JP,33.73,135.98,42.57,80,11,6.82,1606768697
380,Souillac,MU,-20.52,57.52,77.0,83,40,12.75,1606768697
381,Doembang Nangbuat,TH,14.83,100.1,75.99,57,25,8.1,1606768697
382,Richards Bay,ZA,-28.78,32.04,72.18,72,88,15.39,1606768697
383,Mecca,SA,21.43,39.83,72.81,66,56,7.29,1606768482
384,Yulara,AU,-25.24,130.99,77.0,69,100,5.82,1606768697
385,Maceio,BR,-9.67,-35.74,80.6,69,0,13.87,1606768697
386,Sherpur,BD,25.02,90.02,64.98,86,0,1.95,1606768698
387,Yar-Sale,RU,66.83,70.83,16.23,94,100,16.04,1606768698
388,Puerto Escondido,MX,15.85,-97.07,84.2,66,40,5.82,1606768698
389,Temascalcingo,MX,19.92,-100.0,71.01,63,99,8.99,1606768698
390,Garissa,KE,-0.45,39.64,81.18,71,27,12.91,1606768685
391,Novobureyskiy,RU,49.8,129.88,-1.7,90,6,3.47,1606768698
392,Zhangye,CN,38.93,100.45,18.39,84,100,5.61,1606768698
393,Cape Town,ZA,-33.93,18.42,62.01,82,75,6.93,1606768698
394,Takoradi,GH,4.88,-1.76,79.5,84,60,6.96,1606768698
395,Ajdabiya,LY,30.76,20.23,65.19,70,8,16.87,1606768699
396,Luangwa,ZM,-15.62,30.42,81.88,58,92,0.49,1606768699
397,Acarau,BR,-2.89,-40.12,80.69,77,6,16.24,1606768699
398,Raduzhnyy,RU,62.1,77.47,7.2,95,100,9.89,1606768699
399,Guderup,DK,54.99,9.87,35.6,93,100,10.29,1606768699
400,Gornopravdinsk,RU,60.05,69.9,10.78,94,96,6.55,1606768699
401,San Patricio,MX,19.22,-104.7,86.0,74,20,11.41,1606768699
402,Reconquista,AR,-29.15,-59.65,82.56,65,51,8.39,1606768699
403,Sohag,EG,26.56,31.69,57.2,50,0,6.93,1606768699
404,Kaitangata,NZ,-46.28,169.85,57.0,47,10,5.01,1606768700
405,Abomsa,ET,9.98,39.98,68.43,53,1,3.51,1606768700
406,Mathbaria,BD,22.29,89.96,63.72,60,0,4.32,1606768700
407,Galeana,MX,24.83,-100.07,46.0,80,100,1.99,1606768700
408,Fukuma,JP,33.77,130.47,41.0,80,90,4.7,1606768700
409,Yerbogachen,RU,61.28,108.01,-1.75,91,98,7.65,1606768700
410,Lisiy Nos,RU,60.02,30.02,33.01,92,75,6.71,1606768700
411,Saint-Philippe,RE,-21.36,55.77,77.0,69,0,5.82,1606768700
412,Lakes Entrance,AU,-37.88,147.98,66.0,88,25,5.35,1606768701
413,Weinan,CN,34.5,109.51,39.0,81,90,8.95,1606768701
414,Veraval,IN,20.9,70.37,77.18,68,0,9.78,1606768701
415,La Paz,MX,24.17,-110.3,77.0,38,5,16.11,1606768701
416,Itupiranga,BR,-5.13,-49.33,78.8,100,75,2.48,1606768701
417,Ibicui,BR,-14.84,-39.99,72.27,82,26,2.3,1606768701
418,Carnarvon,AU,-24.87,113.63,62.6,51,0,24.16,1606768701
419,Luwingu,ZM,-10.26,29.93,63.86,90,49,3.38,1606768702
420,Cardoso,BR,-20.08,-49.91,92.05,33,41,1.32,1606768702
421,Kargasok,RU,59.06,80.86,7.41,94,100,8.43,1606768702
422,Ancud,CL,-41.87,-73.82,60.8,55,40,3.36,1606768702
423,Hailar,CN,49.2,119.7,2.25,93,75,7.96,1606768469
424,Kavaratti,IN,10.57,72.64,82.06,76,56,9.01,1606768702
425,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,14.0,85,90,6.71,1606768702
426,Abu Kamal,SY,34.45,40.92,59.61,51,48,7.76,1606768702
427,Novolabinskaya,RU,45.11,39.89,28.4,100,90,2.24,1606768702
428,Novo Aripuana,BR,-5.12,-60.38,84.45,73,80,2.3,1606768702
429,Cap Malheureux,MU,-19.98,57.61,77.0,81,0,7.0,1606768703
430,Osmena,PH,10.52,119.93,82.72,71,89,17.09,1606768703
431,Sorong,ID,-0.88,131.25,80.82,79,100,5.59,1606768703
432,Aklavik,CA,68.22,-135.01,-7.6,83,40,2.62,1606768703
433,Coahuayana,MX,18.73,-103.68,82.4,58,40,11.41,1606768703
434,Laguna,BR,-28.48,-48.78,69.96,94,100,10.65,1606768703
435,Uvalde,US,29.37,-99.77,57.99,24,1,6.93,1606768704
436,Mogadishu,SO,2.04,45.34,79.45,80,21,15.84,1606768704
437,Werneck,DE,49.98,10.1,30.99,89,93,1.99,1606768704
438,The Valley,AI,18.22,-63.06,84.2,65,20,11.41,1606768704
439,Cochrane,CA,51.18,-114.47,44.6,33,75,18.34,1606768595
440,Rio Gallegos,AR,-51.62,-69.22,66.2,16,90,34.45,1606768704
441,Urumqi,CN,43.8,87.6,23.0,92,75,2.24,1606768704
442,New Norfolk,AU,-42.78,147.06,64.99,58,100,4.25,1606768704
443,Tuatapere,NZ,-46.13,167.68,51.01,79,31,4.0,1606768704
444,Vaini,TO,-21.2,-175.2,78.8,69,20,5.82,1606768704
445,Waingapu,ID,-9.66,120.26,81.07,77,100,2.37,1606768705
446,Cockburn Town,TC,21.46,-71.14,80.6,61,20,6.93,1606768646
447,Kaseda,JP,31.42,130.32,49.06,65,35,6.6,1606768705
448,Kodinsk,RU,58.69,99.18,9.7,94,100,5.73,1606768519
449,Cumpas,MX,29.98,-109.78,68.61,24,0,4.99,1606768705
450,Broome,AU,-17.97,122.23,82.4,83,1,4.7,1606768495
451,Dali,CN,25.7,100.18,44.67,82,6,3.42,1606768705
452,Carambei,BR,-24.92,-50.1,65.53,95,100,4.54,1606768705
453,Leh,IN,34.17,77.58,18.28,81,92,1.1,1606768705
454,Nkongsamba,CM,4.95,9.94,68.94,85,68,0.92,1606768705
455,Longyearbyen,SJ,78.22,15.64,15.8,61,75,10.29,1606768705
456,Katsuura,JP,35.13,140.3,50.0,61,20,12.75,1606768706
457,Olinda,BR,-8.01,-34.86,78.8,65,40,10.29,1606768706
458,Dikson,RU,73.51,80.55,29.88,99,100,14.61,1606768706
459,Sakakah,SA,29.97,40.21,55.4,62,0,6.93,1606768706
460,Mount Isa,AU,-20.73,139.5,78.8,61,16,3.36,1606768706
461,Barrow,US,71.29,-156.79,8.6,78,90,8.05,1606768501
462,Uniontown,US,39.9,-79.72,42.01,63,100,1.99,1606768706
463,Port Keats,AU,-14.25,129.55,81.5,84,40,1.81,1606768706
464,Acapulco,MX,16.86,-99.89,86.0,66,75,6.93,1606768706
465,Bambous Virieux,MU,-20.34,57.76,77.0,83,40,12.75,1606768706
466,Broken Hill,AU,-31.95,141.43,91.4,18,23,21.92,1606768706
467,Matara,LK,5.95,80.54,76.55,88,100,2.42,1606768707
468,Boa Viagem,BR,-5.13,-39.73,89.31,33,61,4.56,1606768707
469,Barkhan,PK,29.9,69.53,52.34,40,0,2.06,1606768707
470,Adrar,DZ,25.75,-1.0,63.28,29,0,7.72,1606768707
471,Busselton,AU,-33.65,115.33,48.0,94,52,5.41,1606768707
472,Kamogawa,JP,35.1,140.1,50.0,61,20,12.75,1606768707
473,Byron Bay,AU,-28.65,153.62,70.0,94,90,4.7,1606768441
474,Hilo,US,19.73,-155.09,80.6,57,1,3.36,1606768707
475,Tazovskiy,RU,67.47,78.7,12.11,95,100,11.86,1606768707
476,Kamaishi,JP,39.27,141.88,36.55,80,4,6.35,1606768634
477,San Carlos De Bariloche,AR,-41.15,-71.31,69.8,16,0,25.28,1606768584
478,Thompson,CA,55.74,-97.86,17.6,85,75,4.7,1606768708
479,Aranos,NA,-24.13,19.12,79.61,16,13,16.96,1606768708
480,Skjervoy,NO,70.03,20.97,41.0,65,75,12.75,1606768708
481,Lydenburg,ZA,-25.1,30.46,69.01,71,57,2.15,1606768708
482,Bozuyuk,TR,39.91,30.04,41.0,85,0,3.36,1606768708
483,Antalaha,MG,-14.9,50.28,73.63,84,20,2.26,1606768708
484,Sitka,US,57.05,-135.33,37.4,74,90,6.93,1606768708
485,Hamilton,BM,32.29,-64.78,71.6,56,40,18.34,1606768708
486,Narsaq,GL,60.92,-46.05,35.6,43,75,11.41,1606768708
487,Torbay,CA,47.67,-52.73,35.01,80,5,2.24,1606768515
488,Midland,CA,44.75,-79.88,39.0,93,100,16.44,1606768709
489,Hithadhoo,MV,-0.6,73.08,82.29,66,71,6.67,1606768709
490,Madison,US,34.73,-86.57,37.0,80,90,13.87,1606768499
491,Mocuba,MZ,-16.84,36.99,74.75,89,100,2.57,1606768709
492,Buchanan,LR,5.88,-10.05,80.6,88,75,3.96,1606768709
493,Nalut,LY,30.33,10.85,56.39,55,0,4.41,1606768568
494,Kharovsk,RU,59.96,40.19,31.48,97,100,12.26,1606768709
495,Key Largo,US,25.09,-80.45,79.0,67,89,4.0,1606768661
496,East London,ZA,-33.02,27.91,67.41,68,36,16.82,1606768710
497,Marawi,SD,18.48,31.82,66.36,25,0,8.5,1606768710
498,Saint-Georges,GF,3.9,-51.8,80.6,88,40,2.24,1606768710
499,Pacific Grove,US,36.62,-121.92,62.01,50,1,4.7,1606768710
500,Rocha,UY,-34.48,-54.33,62.22,58,0,10.56,1606768710
501,Korla,CN,41.76,86.15,23.63,94,62,6.42,1606768711
502,Wakkanai,JP,45.41,141.67,25.59,93,100,18.3,1606768711
503,Carutapera,BR,-1.2,-46.02,79.75,81,100,6.64,1606768711
504,Atagay,RU,55.1,99.39,15.57,92,100,5.19,1606768711
505,Yendi,GH,9.44,-0.01,81.97,20,94,3.13,1606768712
506,Ust-Nera,RU,64.57,143.2,-23.98,77,70,5.21,1606768712
507,Khajuraho,IN,24.85,79.93,58.32,42,0,1.43,1606768712
508,Chokurdakh,RU,70.63,147.92,-7.49,89,92,14.32,1606768712
509,Upernavik,GL,72.79,-56.15,-5.62,83,0,12.55,1606768712
510,Boende,CD,-0.22,20.87,75.34,69,52,1.23,1606768713
511,Hasaki,JP,35.73,140.83,39.2,100,20,6.93,1606768713
512,Aksu,CN,41.12,80.26,22.14,88,56,2.42,1606768713
513,Darhan,MN,49.49,105.92,6.78,90,97,6.8,1606768461
